track_name,artist_name,genre
Road Head,Japanese Breakfast,Pop
Inside feat. Trey Songz,Jacquees,Pop
Silver Spoon,BTS,Pop
Stole the Show,Kygo,Pop
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,Pop
Toothbrush,DNCE,Pop
I'm Good,The Mowgli's,Pop
Sleep Apnea,Beach Fossils,Pop
These Girls,Why Don't We,Pop
Plush - Acoustic,Stone Temple Pilots,Pop
